"","breaks","counts","prob","cum_prob"
"1",-5.4,1,0.00019588638589618,0.00019588638589618
"2",-5.3,0,0,0.00019588638589618
"3",-5.2,0,0,0.00019588638589618
"4",-5.1,0,0,0.00019588638589618
"5",-5,1,0.00019588638589618,0.00039177277179236
"6",-4.9,0,0,0.00039177277179236
"7",-4.8,0,0,0.00039177277179236
"8",-4.7,0,0,0.00039177277179236
"9",-4.6,0,0,0.00039177277179236
"10",-4.5,0,0,0.00039177277179236
"11",-4.4,0,0,0.00039177277179236
"12",-4.3,1,0.00019588638589618,0.000587659157688541
"13",-4.2,0,0,0.000587659157688541
"14",-4.1,1,0.00019588638589618,0.000783545543584721
"15",-4,2,0.00039177277179236,0.00117531831537708
"16",-3.9,0,0,0.00117531831537708
"17",-3.8,0,0,0.00117531831537708
"18",-3.7,2,0.00039177277179236,0.00156709108716944
"19",-3.6,3,0.000587659157688541,0.00215475024485798
"20",-3.5,0,0,0.00215475024485798
"21",-3.4,6,0.00117531831537708,0.00333006856023506
"22",-3.3,6,0.00117531831537708,0.00450538687561214
"23",-3.2,4,0.000783545543584721,0.00528893241919687
"24",-3.1,14,0.00274240940254652,0.00803134182174339
"25",-3,9,0.00176297747306562,0.00979431929480901
"26",-2.9,11,0.00215475024485798,0.011949069539667
"27",-2.8,5,0.000979431929480901,0.0129285014691479
"28",-2.7,11,0.00215475024485798,0.0150832517140059
"29",-2.6,5,0.000979431929480901,0.0160626836434868
"30",-2.5,11,0.00215475024485798,0.0182174338883448
"31",-2.4,12,0.00235063663075416,0.0205680705190989
"32",-2.3,14,0.00274240940254652,0.0233104799216454
"33",-2.2,18,0.00352595494613124,0.0268364348677767
"34",-2.1,43,0.00842311459353575,0.0352595494613124
"35",-2,28,0.00548481880509305,0.0407443682664055
"36",-1.9,23,0.00450538687561214,0.0452497551420176
"37",-1.8,23,0.00450538687561214,0.0497551420176298
"38",-1.7,36,0.00705190989226249,0.0568070519098923
"39",-1.6,33,0.00646425073457395,0.0632713026444662
"40",-1.5,29,0.00568070519098923,0.0689520078354554
"41",-1.4,49,0.00959843290891283,0.0785504407443683
"42",-1.3,48,0.00940254652301665,0.0879529872673849
"43",-1.2,51,0.00999020568070519,0.0979431929480901
"44",-1.1,87,0.0170421155729677,0.114985308521058
"45",-1,84,0.0164544564152791,0.131439764936337
