"","age","polygon","sex","length","weight"
"14287",7,3453,1,61.66327292774,1.77979511472626
"1058",9,4021,0,77.762664399532,3.49572033388394
"14891",16,1507,0,98.6813018054458,6.99223727222165
"16231",9,3814,1,67.3903024509854,2.3046826648495
"12615",5,3940,0,50.1907284514242,0.977703268502586
"5243",11,1507,0,85.911813531694,4.67182520715965
"15420",5,3855,1,48.9337631401167,0.908141988885365
"14819",5,3131,0,60.6617517148816,1.69697397288041
"11225",7,3981,0,66.5642562352127,2.22343398119101
"15221",5,3728,1,55.6300693713353,1.31899644661662
"1233",6,3129,0,51.522539090116,1.055126921624
"756",3,3129,0,40.7541769663787,0.533327004829278
"15436",6,3399,1,51.1388876618492,1.03242592660419
"6103",13,1507,1,88.3931444111818,5.07540569527485
"12918",7,3191,0,56.3960333295962,1.37254309878032
"15211",4,3898,1,44.2594465842138,0.678063059305947
"11480",9,3688,0,79.7456309114804,3.76148868128571
"13340",5,3188,1,50.3521688268102,0.986882832027002
"10124",7,3899,1,62.3277707618971,1.83618368308504
"16033",10,3647,1,88.8363613171875,5.14981706470455
"13302",5,3245,0,62.1059702330079,1.81723350736782
"16306",11,3191,0,93.4827003223113,5.97338654390765
"9116",9,3815,0,74.9062352295055,3.13501756229899
"13457",8,3982,0,73.3456136922796,2.94870585497432
"8447",4,3686,1,49.0152313928717,0.912548722898476
"5998",6,3130,1,60.3278347628581,1.66993398617943
"12480",6,3131,0,56.3630917236661,1.37021139754586
"15265",6,3246,1,51.4705006107239,1.05202874583888
"8488",3,3399,0,38.7324675705767,0.459929660739344
"4583",5,3249,0,50.2733594242794,0.982394664020143
"12086",4,3247,1,42.9538974327489,0.621484326814863
"9630",8,1507,1,67.8759850211347,2.35335078842538
"10129",9,3010,1,74.1154160945786,3.03967092209524
"14905",4,3687,0,44.5026299453804,0.688961581679952
"16448",7,3729,0,68.1987159741548,2.38606033492775
"6561",3,3941,1,41.9846973756169,0.581550688426122
"6991",4,3687,1,41.5364159759173,0.563665084421801
"14084",4,3453,1,47.4385472172315,0.829726579285964
"15316",4,3899,1,45.1252015636194,0.717385221346542
"1967",6,3688,0,59.2843145041245,1.58725794852847
"3585",4,3453,1,41.0265323777732,0.543765044766474
"10861",3,3773,0,38.7145421200753,0.459310522885845
"7843",6,3896,1,65.0610983044841,2.08045310631019
"6213",6,3939,0,53.3913356643259,1.17039557466144
"4665",4,3399,0,38.2962563196171,0.445018002455737
"154363",6,3399,1,51.1388876618492,1.03242592660419
"14151",7,3302,1,63.8529638586669,1.97001517595971
"46653",4,3399,0,38.2962563196171,0.445018002455737
"8996",4,3262,0,46.6170599640676,0.788602747982122
"13950",5,3458,0,54.1758127771096,1.22114293929501
"5536",4,3354,1,41.2261182242772,0.551498706572664
"10618",7,3403,0,70.8340008258781,2.66438047382625
"913",4,3262,1,47.5866645014223,0.837287881981629
"14100",11,3456,0,88.6090634786096,5.11156739630477
"2063",6,3261,0,66.818697504131,2.24825662436673
"84883",3,3399,0,38.7324675705767,0.459929660739344
"6168",8,3355,1,77.4081113369304,3.44954104412741
"10707",12,3254,0,91.4916314613495,5.61064095386791
"7968",4,3400,1,47.7707440793358,0.846747888636927
"14643",4,3358,0,42.823335850015,0.616003139231932
"14135",6,3457,1,58.8205870383844,1.55139756979925
"4770",4,3311,1,42.858428982068,0.617473274798455
"14596",5,3405,1,58.2138249780635,1.50528502241664
"10974",5,3309,1,46.0135054255933,0.759257283706891
"4468",10,3353,0,79.89182613156,3.7815906749291
"35853",4,3453,1,41.0265323777732,0.543765044766474
"15530",4,3302,1,40.6056871055459,0.527691937478988
"5381",7,3455,0,61.9459800018115,1.80364427494877
"13916",5,3354,1,48.3705312871829,0.878057548288583
"13296",4,3253,0,45.85836152468,0.751831674266006
"13317",4,3303,0,42.698742113686,0.610802169740558
"15028",4,3301,0,43.9884347156675,0.666051398259545
"4427",3,3354,1,39.1049338050656,0.472918725404097
"14170",4,3308,1,42.7933299760777,0.614747944660289
"8352",4,3402,1,47.0366163727247,0.809434399028746
"5048",3,3254,1,40.1150235804298,0.509349877412926
"52439",11,1507,0,85.911813531694,4.67182520715965
"4819",5,3303,0,58.4946047245467,1.52651014168436
"2866",5,3254,1,55.1594943190236,1.28679003355086
"245",4,3400,0,41.5602352543302,0.564606218546607
"5568",4,3301,0,45.0242983664995,0.71272717921777
"6293",4,3262,1,46.1096852151567,0.763884790627526
"13788",4,3405,1,44.3558923784332,0.682371735230915
"3566",4,3404,0,43.2598420287481,0.634453546154737
"61039",13,1507,1,88.3931444111818,5.07540569527485
"148919",16,1507,0,98.6813018054458,6.99223727222165
"96309",8,1507,1,67.8759850211347,2.35335078842538
"14044",8,3311,0,78.4451821053454,3.58575445735183
"11810",5,3400,0,52.8845133792665,1.13835745639056
"3404",4,3310,0,42.0755911813946,0.585222001252577
"13601",4,3407,1,40.104438544556,0.508958869962137
"14144",6,3357,0,57.8561133771213,1.47852617938059
"3034",5,3307,0,55.4477166016067,1.30645409228686
"142873",7,3453,1,61.66327292774,1.77979511472626
"4541",4,3262,0,42.7884196956797,0.614542699609475
"140843",4,3453,1,47.4385472172315,0.829726579285964
"11293",4,2485,0,44.4567992948854,0.686898905116821
"8018",4,2073,0,51.1337431857318,1.03212372271769
"5318",4,2368,1,39.9623461113514,0.503729085485862
"5170",4,2493,0,44.4420648844222,0.686236623172289
"4794",8,1846,1,72.785269332461,2.88362811331128
"6236",4,1888,1,44.1460250739427,0.673018895479503
"9836",4,2496,1,48.2090732374187,0.869555773550113
"11835",4,2430,0,42.6727148728102,0.609719355971078
"16256",4,2038,0,42.5071408280557,0.602860454014171
"5206",4,2001,0,49.1189813833886,0.918180995089033
"4480",7,2553,1,64.0567349341308,1.98836563272818
"12131",4,325,1,48.6366661418708,0.892189971845732
"12765",8,277,1,69.2661601522054,2.49637096731758
"10204",4,2492,0,42.2096071564811,0.590662770149773
"8036",10,2109,1,82.1808518491383,4.10558684952009
"2144",4,1967,0,45.6967429322147,0.744147029631906
"13265",9,2496,0,77.7588659109209,3.49522345664125
"11833",7,3020,0,66.3313441633194,2.20086998486352
"742",4,2000,0,40.5388775390908,0.525169370878971
"61038",13,1507,1,88.3931444111818,5.07540569527485
"10844",3,2305,1,39.5708574564039,0.489502908712463
"13498",5,1712,0,49.71778810315,0.95113468726859
"14509",9,3022,1,84.6071049130169,4.46834372778846
"9585",7,2073,1,55.843623181889,1.33378499100103
"6858",4,424,1,44.3339838227952,0.681391406863317
"8686",8,2311,0,68.3908158176673,2.4056710264182
"5969",5,2492,0,55.7284867058934,1.32579837630703
"4225",8,325,0,71.9491358590532,2.78828478855543
"11541",5,2496,1,47.1187063467873,0.813552076347308
"7983",4,2542,0,42.2900336332426,0.593943801108499
"111",6,1542,0,68.5612059956042,2.42315374108175
"5937",12,2252,1,94.6496368005116,6.1929679842556
