"","age","polygon","sex","length","weight"
"1597",7,1687,0,68.623846771013,2.42960183733156
"306",6,3450,1,57.5997803057378,1.45954433499423
"1408",5,3450,1,48.944505456026,0.908722254846876
"1406",6,1687,0,57.9177822364901,1.48311689794937
"307",5,3449,1,51.3560214441228,1.04523411559735
"573",6,1687,1,64.759866891966,2.05254644057537
"1280",8,1687,1,69.250191841268,2.49469662458541
"1512",18,1687,1,99.5805858718835,7.1792817159579
"129",6,3068,0,58.4585176895972,1.52377126693007
"621",6,2252,1,55.8405403265122,1.33357073377295
"7084",3,3183,0,40.5482550598556,0.525522964669762
"1679",5,2250,1,42.5234469200735,0.603533673800369
"1106",8,3127,0,72.8868465361161,2.8953544855066
"1314",7,3125,0,71.8888062150093,2.78148668966732
"377",6,2074,1,62.16135514459,1.82195339490537
"8459",3,2494,1,42.7449189400862,0.612726373291227
"3115",3,2431,0,40.8652539008551,0.537568004166217
"1506",8,2481,0,68.3168274031884,2.39810537406939
"128014",8,1687,1,69.250191841268,2.49469662458541
"5697",3,3125,0,38.7677913401481,0.461151332329688
"5978",3,1888,1,38.6029156476511,0.455467296247943
"1695",11,2152,1,78.4844057360057,3.59097436013046
"1505",4,2201,1,48.2785926154938,0.873209747651376
"1861",5,2369,1,48.2251817667205,0.870401551029833
"6029",3,2689,1,38.3204099363768,0.445835258188288
"743",5,1757,1,53.7168335992265,1.19128030829879
"4831",3,2305,1,41.0192040739992,0.543482446924817
"507",4,2074,1,47.1576567699723,0.815510650286664
"2321",3,1711,0,40.1539231853659,0.510788508533726
"402",5,2152,0,64.0627949482695,1.98891307371857
"648",6,1755,0,57.7569627939935,1.4711648366999
"1090",5,2425,1,59.6646975594365,1.61707605317459
"642",7,2365,0,62.0164570674239,1.80962219824972
"1389",5,2429,1,46.7760164186481,0.796453259513211
"71",5,1712,0,44.7299706977654,0.699253503378574
"1577",5,2432,1,50.9649070234009,1.02223790952544
"1264",5,2249,0,49.8374676995077,0.957812608435423
"39",7,1666,1,67.4192163077995,2.30756132688781
"55",5,1889,1,50.6495974646216,1.00394250044313
"1664",5,1800,0,48.8094263863506,0.901443399788458
"965",7,1929,1,61.0736335069417,1.73072123695693
"858",6,2555,1,57.2543624989881,1.4342196313114
"189",4,1626,0,44.9475083329361,0.709195618846867
"6335",3,2897,1,40.6331928831215,0.528732795335775
"10",7,2001,0,56.3133675978622,1.36669670808363
"439",4,2427,0,42.1993220981446,0.590244047001364
"730",5,3184,1,58.5831246798241,1.53324216383562
"213",6,1755,1,59.0578868951691,1.56968094082566
"1992",6,2958,1,57.3960939753089,1.44457564560116
"1702",8,2037,1,68.3243668728336,2.39887560353676
"1868",8,2432,0,74.1136611705064,3.03946148214915
"8449",3,1757,0,38.0235054679555,0.435857426367353
"7346",3,2559,1,38.0728921496464,0.437506855682993
"6562",3,3068,1,40.0710355989208,0.507726268988213
"3566",3,1889,0,39.1810733427983,0.475603238027974
"6993",3,2306,0,38.3091357359559,0.445453664682538
"1134",13,1889,0,79.2081438813826,3.68818679923328
"57312",6,1687,1,64.759866891966,2.05254644057537
"1319",5,2836,0,52.2708516910513,1.10034291817904
"407",6,2037,0,61.4680768191933,1.7634497748093
"3404",3,1666,0,41.2732828472439,0.553336750178209
"1033",5,2250,0,51.5178677630434,1.05484856400828
"8374",3,1890,0,38.3618464564924,0.447239587376762
"1778",6,2424,0,52.5242595911874,1.1159381064636
"7793",3,2110,1,38.5143388345968,0.452432719836918
"780",5,2074,0,42.6827005718646,0.610134642860989
"1957",8,2150,1,72.2360860770971,2.82076838248193
"4459",3,1966,0,39.7163025636575,0.494756973076937
"1023",5,2201,1,43.4002305600333,0.640463688053186
"1525",6,2369,1,56.6364907904108,1.3896422972027
"802",7,2960,1,61.7758216360243,1.78926476001197
"159712",7,1687,0,68.623846771013,2.42960183733156
"120",4,423,0,42.8357740605621,0.616523942599256
"6245",3,3242,0,40.818268014087,0.535771357563964
"8201",3,1800,0,40.1513950384191,0.510694928688382
"1605",5,1626,1,57.3388173955034,1.44038468037917
"1542",10,2824,1,86.0879405830039,4.69975082088069
"1173",4,2493,0,41.3110410078225,0.55481111067839
"181",19,2370,1,101.446431689911,7.57777493366261
"968",9,1890,1,78.5108153174685,3.59449177010611
"988",11,1801,0,86.5352862697288,4.77117117711836
"1694",4,1666,1,45.0374183908771,0.713331718950432
"1742",11,2108,0,85.6590734017296,4.63194291331717
"515",9,2559,1,72.4117954329443,2.84078125931497
"7917",3,426,0,38.9773619458299,0.468443148549137
"5265",3,2554,0,38.15208246573,0.440160217135467
"1295",4,1757,1,43.9489575314875,0.664313452899263
"1539",9,2305,0,70.6321850927674,2.64235018405536
"1578",4,1623,1,39.9395535611677,0.50289349135179
"212",4,3896,0,45.1874132346991,0.72026706081358
"4912",3,3981,1,39.7170416692661,0.494783766630604
"251",7,3069,0,74.132636043836,3.04172652505082
"1985",4,3068,1,49.0342757744355,0.913580880473446
"159711",7,1687,0,68.623846771013,2.42960183733156
"7491",3,3855,1,38.1347750412094,0.439579412852131
"62454",3,3242,0,40.818268014087,0.535771357563964
"1902",4,3687,1,45.7272830587976,0.74559518274698
"1892",10,3855,1,86.2941637837263,4.7325872668744
"1036",5,3536,0,48.3027851508254,0.874483679401243
"534",6,3981,1,62.0156179930631,1.80955095088731
"1879",6,3854,0,54.149521735279,1.21941924374609
"7304",5,3184,1,58.5831246798241,1.53324216383562
"1084",4,3896,1,41.2517422420453,0.552496797320186
"1746",8,3814,0,70.3352276847508,2.6101521113247
"3309",3,3496,1,40.4936852552389,0.523467516101068
"8621",3,3982,1,38.7675965150499,0.461144588474798
"2157",3,3687,1,38.5107627988372,0.452310487000258
"128013",8,1687,1,69.250191841268,2.49469662458541
"2456",3,3298,0,38.4179241312417,0.449144740356344
"1118",9,3940,1,76.1856374831596,3.29339197713605
"8117",3,3815,1,39.7436377082121,0.49574854198321
"1487",5,3069,0,49.5188510689577,0.940102080522529
"1296",6,3068,0,58.4585176895972,1.52377126693007
"65623",3,3068,1,40.0710355989208,0.507726268988213
"284",8,3896,1,67.4442497826997,2.31005556362066
"1187",8,3854,1,69.4001526922655,2.51044970341676
"151",7,3536,0,71.4194807235993,2.72897305637601
"3065",6,3450,1,57.5997803057378,1.45954433499423
"1998",6,3899,1,53.3550606991795,1.16808308363544
"172",15,3938,1,93.0126535336496,5.88640318312222
"57311",6,1687,1,64.759866891966,2.05254644057537
"1301",8,3855,0,62.9751265543489,1.89223302330468
"1198",8,3772,0,77.5493783565919,3.46789227853931
"140611",6,1687,0,57.9177822364901,1.48311689794937
"70844",3,3183,0,40.5482550598556,0.525522964669762
"2559",3,4021,1,38.2934013624966,0.444921467874326
"1000",5,3495,1,52.0863860394552,1.08908099905477
"14085",5,3450,1,48.944505456026,0.908722254846876
"1653",7,3536,0,68.2993553011375,2.39632105448844
"151211",18,1687,1,99.5805858718835,7.1792817159579
"3075",5,3449,1,51.3560214441228,1.04523411559735
"739",7,3495,0,66.6392547902464,2.23073185336915
"4420",3,3773,0,38.1720959536536,0.440832459469365
"1130",14,4021,0,92.4017047271487,5.77459376400865
"1330",5,4020,1,50.3116297240721,0.984572467192713
"1622",5,3943,0,50.757316707832,1.01016838224633
"168",16,3861,1,99.3891163784018,7.1391857055634
"140610",6,1687,0,57.9177822364901,1.48311689794937
"2043",5,3207,0,50.4710102521747,0.993676225172701
"2706",3,3206,1,39.3736156254534,0.482436435807035
"1363",6,3946,1,65.5170258179486,2.12316297433387
"8908",3,4105,0,39.2667620209579,0.478636372172968
"1595",5,3269,1,55.1767979715014,1.28796506174384
"1511",5,2842,1,42.7094316899855,0.611247254576858
"522",9,3207,1,75.2799141507481,3.1807454180893
"794",5,3586,1,53.1904769078761,1.15762870798332
"2626",3,3207,0,39.0405667180228,0.470657057058819
