"","age","polygon","sex","length","weight"
"1",3,1806,1,33.8383092556811,0.310435852010819
"2",4,2735,1,40.1889459030021,0.512086039292655
"3",3,488,0,30.4456935907208,0.228272173226553
"4",1,2633,0,10.1378849083246,0.00930463824069838
"5",2,2745,0,22.3696915619687,0.0930900521286311
"6",5,4019,0,50.0797568935527,0.971425997577581
"7",2,1435,0,18.1821437115573,0.0509283828097143
"8",2,675,0,24.3527697957874,0.119192361073338
"9",1,109,1,12.4409054879108,0.0168815367459694
"10",3,4444,0,37.8574812873415,0.430342441786454
"11",2,4140,1,22.3820040133714,0.0932392315973849
"12",5,2217,0,54.7773197414857,1.26101702559228
"13",4,1984,0,44.0091214407917,0.666963302007285
"14",10,2563,1,80.126987566227,3.8140733250225
"15",4,1842,0,41.3808526860237,0.557543866078219
"16",3,3996,0,33.3997931065448,0.298873269872714
"17",10,873,1,83.996801592287,4.37519370989634
"18",3,1152,0,37.9184464505545,0.43236222573041
"19",1,3417,0,11.7651502771385,0.0143493209171852
"20",2,2053,0,23.3657114692987,0.105671434453195
"21",2,582,0,21.2057263871552,0.079684043125912
"22",4,917,0,37.8070102394177,0.428675022941036
"23",1,2155,0,10.9006539232602,0.0114915764546235
"24",8,3492,1,73.5040807479527,2.96728325949259
"25",12,3275,1,84.1801269429444,4.40303920293003
"26",4,877,1,37.5554998116816,0.420429038573928
"27",3,1351,1,34.4874636780717,0.328085427149499
"28",4,326,1,42.7912797249812,0.614662240644178
"29",2,4257,0,23.4885369776191,0.107296004200139
"30",3,1753,1,32.5993927040516,0.278504590709879
"31",2,3901,1,22.1019065553394,0.0898841723839277
"32",6,1712,0,63.9772999261532,1.98119888777028
"33",1,2321,0,10.8638707510219,0.0113790981220974
"34",1,1271,1,11.5981147779027,0.0137644868720913
"35",2,578,1,26.6936282832197,0.155682151870389
"36",7,3376,0,67.8145939892382,2.34716217635257
"37",3,735,0,29.5896168944055,0.210091349695189
"38",3,3184,0,39.5822950624934,0.489914748038266
"39",2,2130,1,24.6629721525807,0.123664440145382
"40",4,2861,1,41.4048904636801,0.558486857648678
"41",1,1574,1,12.0406238707921,0.0153490409922941
"42",1,1262,1,10.7584312824534,0.0110606877048658
"43",1,631,1,13.6837421194593,0.0222714702961927
"44",2,3702,0,26.3398275299381,0.149753265907271
"45",2,1746,0,22.1798985761414,0.0908102754035965
"46",1,3705,1,11.9254300033226,0.0149256125537883
"47",9,1523,0,71.5190368203265,2.7400576918859
"48",5,3204,0,49.5201936144184,0.940176252129478
"49",3,994,0,34.5930533207629,0.331017057119452
"50",9,148,0,76.691025431672,3.35737081094354
"51",1,2261,0,10.4306519532958,0.0101083208155973
"52",4,3548,0,43.3353103222441,0.637679779285513
"53",2,2126,1,24.9477950948616,0.127866357922396
"54",8,3576,1,71.3330977188214,2.71937900364064
"55",1,1437,1,10.3913737635526,0.00999795128820941
"56",3,2219,0,34.5976870179737,0.331146101076377
"57",3,3140,1,29.4571657835927,0.207366394055629
"58",5,2315,1,43.9507382855212,0.664391784716163
"59",4,1301,1,42.194872876402,0.590062971602036
"60",6,885,1,52.2324318623886,1.09799105527633
"61",6,815,1,65.9715755418492,2.16631265304225
"62",7,1309,0,58.8167951889753,1.55110655767342
"63",1,3620,1,12.3045054587678,0.0163485560387912
"64",2,883,0,25.8630892237014,0.142001405685433
"65",5,1039,0,52.5332605942773,1.11649469613353
"66",5,2497,0,49.8372340845089,0.957799543226772
"67",1,945,0,11.8424267583806,0.014625312141184
"68",5,2427,0,59.3418608683624,1.59174562057565
"69",5,719,0,51.7886035442951,1.07106100771024
"70",3,1741,0,36.4546522509547,0.385561621505607
"71",1,3395,1,11.660567365992,0.0139812808818355
"72",10,1619,1,72.343057169892,2.83294107548769
"73",2,1589,1,22.0715437278094,0.0895253175670512
"74",1,3201,0,11.2241077415618,0.0125122237307769
"75",2,1906,1,23.8190755261746,0.111749129433043
"76",3,2547,1,32.4143373634194,0.273928857077345
"77",2,1354,0,24.5926615096526,0.12264131090407
"78",11,1980,1,85.9250416836609,4.67391878793841
"79",2,2574,1,22.9861272451483,0.100753045388303
"80",4,2544,1,39.2389412423314,0.477650208531088
"81",2,429,0,24.5266954980062,0.121686469061832
"82",5,2918,1,48.5098239500065,0.88543586194534
"83",2,3274,0,22.6990119948951,0.097134368786404
"84",1,2800,1,10.9990610048326,0.0117960746594803
"85",3,1580,0,39.0606585307499,0.471362259813804
"86",2,1097,1,18.8674362486554,0.0567175155283676
"87",3,2330,1,33.0561103086113,0.290011537010039
"88",3,1097,0,31.9779376819996,0.263334341952706
"89",4,2688,0,48.4194259908919,0.880642878985275
"90",1,2928,1,10.9180813526764,0.0115451211287421
"91",1,2259,1,11.1560657232225,0.0122927735619401
"92",1,3325,1,10.436175024615,0.0101239041645287
"93",2,2758,0,25.105936721541,0.130239312816616
"94",1,1790,0,9.93547752461386,0.00877428898251899
"95",1,936,1,12.2623973110463,0.0161862800861891
"96",3,2025,0,33.2398389034881,0.294727129411223
"97",1,1608,1,10.2313187862674,0.00955638613216268
"98",1,1705,1,11.550900600412,0.0136020635257403
"99",6,2253,0,60.6892306155824,1.69921187166004
"100",5,530,0,49.7035914417866,0.95034457101201
"101",2,731,1,24.8341290714363,0.126178419451397
"102",4,3202,1,42.432167921786,0.599771435677404
"103",3,2289,0,33.8235546960136,0.310042119206189
"104",2,190,1,25.1694407968415,0.131200280714484
"105",2,2076,0,26.3900695407588,0.150586015125015
"106",2,1505,1,23.5046593343012,0.107510457999105
"107",3,2482,1,32.6744715812856,0.280375223002979
"108",2,1744,1,23.6632557912582,0.10963506420264
"109",3,2297,0,37.6186602513291,0.422489927623761
"110",4,3747,0,40.9788701504655,0.541928794524357
"111",2,1183,0,23.350067269645,0.105465680964056
"112",2,875,0,24.4631547120064,0.120771357905604
"113",3,2165,1,36.1077692676578,0.374982155954239
"114",4,883,0,44.9639509480432,0.709950843252585
"115",2,2828,0,24.6794894195963,0.123905601845131
"116",1,2043,1,13.375401253354,0.0208422945758665
"117",6,4363,1,62.8224358807484,1.87891299860119
"118",7,2248,1,65.0891733633772,2.08306664639286
"119",6,4467,1,58.539744056851,1.52994059897625
"120",1,2797,1,11.633175169711,0.0138859195256318
"121",4,427,1,45.072014453945,0.714927437415233
"122",2,3402,1,22.0447524970903,0.0892094571040487
"123",2,1648,1,23.0507747608348,0.101579850406505
"124",5,1557,0,57.5577902837707,1.45645024340668
"125",2,2441,1,22.5755437867701,0.09560484589451
"126",1,3745,1,10.5932908631818,0.0105738366137733
"127",3,2616,0,26.5512155702963,0.153277466963829
"128",1,3221,1,10.8083759004692,0.0112107732051373
"129",1,2708,1,10.1729498614935,0.00939860020069239
"130",1,1687,0,10.9508204891854,0.0116461523046742
"131",2,2525,1,22.0452163773883,0.0892149198790463
"132",4,3200,0,48.2168950577968,0.869966390410799
"133",6,2271,1,56.5860547285676,1.38604421200225
"134",3,3017,1,36.3708227044193,0.38298721681452
