"","age","polygon","sex","length","weight"
"36",5,3355,1,56.5618756327857,1.38432145716707
"1600",5,3450,0,46.3702084811631,0.776512258713911
"2660",12,3253,0,85.6687721191754,4.63346922799741
"4527",5,3253,0,53.0429149598545,1.14830794194535
"3499",5,882,0,54.7120419781571,1.25664901113253
"3747",7,882,1,68.2104545055324,2.38725565266301
"355",12,882,0,98.2538042354171,6.90445439216124
"1996",3,3253,0,38.6671840461026,0.457677426451315
"5133",5,3450,1,50.4511112196392,0.99253659400453
"822",9,3254,0,72.1082826301585,2.80627016022918
"2781",3,3357,0,39.5974328004779,0.490460169370707
"3800",9,3356,0,76.6516806827411,3.35236099541782
"4171",4,3452,0,44.4026597032973,0.684467499564168
"4850",4,3253,1,47.3350918343011,0.824471916410377
"3555",4,3451,0,46.5563706885038,0.785618889136753
"3785",6,3355,0,58.9649558341179,1.56250407954868
"914",4,3354,1,40.785646613192,0.534526301217729
"524",4,3406,0,47.6511902910318,0.840595978044983
"848",5,3454,1,48.8552741477137,0.903909640170306
"3129",11,882,0,77.6467425952775,3.48057756710064
"2297",9,3450,0,73.8444212222418,3.00744134387511
"4063",4,3253,1,40.8383756972698,0.536539752045874
"892",11,882,1,87.5036483833378,4.92820554903391
"5504",5,3451,0,51.3841072091158,1.04689840271049
"1315",4,3307,1,47.6536398493558,0.84072173026137
"4493",4,3310,0,47.5981079408828,0.837873937608077
"354",4,3451,1,46.8096288322952,0.798119845572655
"896",4,3450,0,47.6972782373182,0.842964050447985
"4862",5,3307,1,49.9201118035037,0.962441926481656
"5352",7,3452,1,64.1253540970558,1.9945702366583
"3051",5,3452,1,49.6779494353133,0.948918555226466
"1195",7,2836,1,63.4825435389136,1.93694261400922
"3541",4,2760,0,40.3424973990075,0.517800390958903
"5030",7,3079,0,63.8428330110837,1.96910576229463
"1695",6,2428,0,60.2069885569176,1.6602182330335
"3646",7,2761,1,62.9763418717902,1.89233928978396
"89218",11,882,1,87.5036483833378,4.92820554903391
"3888",7,3244,1,66.5729389464901,2.22427806506498
"3045",4,2772,1,46.8244998965136,0.79885791923218
"2675",5,2688,1,51.6538840536457,1.06297332632466
"3958",4,2760,1,45.8399796091757,0.750955037707554
"722",8,2376,1,72.3899326775507,2.83828608360581
"312919",11,882,0,77.6467425952775,3.48057756710064
"4913",4,2202,0,50.8819188734589,1.01740159796115
"4962",5,3128,0,48.8138318959636,0.901680188686405
"2650",5,2154,0,53.6274500674179,1.18552108759271
"4442",4,3244,0,42.4030376207891,0.598574023276093
"433",6,3127,0,53.8460752441884,1.19964011988542
"4048",3,2836,0,39.8433012846425,0.499374834956635
"3004",4,3184,0,48.0793374863911,0.862763664398653
"922",9,3022,1,83.0721390892098,4.23650653364237
"3190",5,2760,0,46.1364275412309,0.765174727313823
"2075",4,2823,0,42.6906194516225,0.610464106490264
"4387",6,2430,0,56.3079847985214,1.36631658680345
"374719",7,882,1,68.2104545055324,2.38725565266301
"1311",4,3242,1,45.1937224802085,0.720559748463406
"4329",6,2772,1,49.4891079344227,0.938459846537667
"910",9,2154,0,76.1760852918061,3.29219050330132
"664",4,1930,1,51.3222774002118,1.04323683182601
"3421",7,3068,1,62.8299320681675,1.87956549003268
"1275",6,2111,1,55.7836075706481,1.32961798965611
"4998",8,2960,1,75.502699904083,3.20821531278511
"3717",4,2760,0,39.7061098382471,0.494387570448703
"708",9,3244,0,79.7603379004285,3.76350772677408
"610",4,3242,1,42.1786264521747,0.589402080729459
"35521",12,882,0,98.2538042354171,6.90445439216124
"2792",5,3079,1,51.1183715670186,1.03122108790505
"2805",8,2772,0,67.4099750494215,2.30664101124915
"1829",3,3021,0,38.4572647582113,0.45048445198325
"2316",9,2960,0,72.2294867430989,2.82001854278797
"5829",5,3079,1,55.8225439155203,1.33232044117123
"2079",4,2154,0,44.5933541031858,0.693056738001131
"1134",4,2836,1,42.3162759572367,0.595016949908347
"5489",10,2481,0,73.2877698353895,2.9419437734901
"2722",4,2203,1,41.1799629738166,0.549703883168395
"1064",5,2836,1,54.0449705635704,1.21258045407486
"1826",4,3068,1,40.4744190951034,0.522743091415521
"4724",4,1929,0,47.4662351873282,0.831136613910148
"3011",4,3009,1,42.6628503541247,0.609309290958179
"2474",4,2823,0,42.2074085780883,0.590573245706546
"1611",4,2686,1,44.5232837561885,0.689892464431923
"1389",4,2001,1,44.5841139335377,0.692638921448602
"3127",7,3184,0,62.1223389501709,1.81862760864801
"5408",4,2835,1,39.5284163099654,0.487976696258863
"1108",5,3242,1,50.9227321033709,1.0197781948336
"3808",4,2202,1,42.6451575629978,0.608574260632588
"4201",10,3021,0,84.9519750768096,4.52155182575807
"4725",4,2836,0,45.8430095053567,0.751099487748596
"3685",9,2430,0,75.103950423194,3.15915822984686
"481",3,3242,0,38.6042977396849,0.455514751238686
"5708",5,2154,1,53.3743755302365,1.16931401022115
"800",6,2428,0,52.7976997404091,1.13292807868207
"5711",4,2836,0,44.6000789036272,0.693360920053003
"1217",5,3080,0,47.740064763325,0.845166406149505
"2631",5,3079,0,49.9838048362616,0.966019700986671
"349919",5,882,0,54.7120419781571,1.25664901113253
"641",6,3244,0,55.545659306827,1.31318088371107
"4438",4,3348,0,51.665952195373,1.06369617879665
"49627",5,3128,0,48.8138318959636,0.901680188686405
"374718",7,882,1,68.2104545055324,2.38725565266301
"41717",4,3452,0,44.4026597032973,0.684467499564168
"4011",4,3299,1,44.644962256882,0.695393367523692
"89217",11,882,1,87.5036483833378,4.92820554903391
"13117",4,3242,1,45.1937224802085,0.720559748463406
"6107",4,3242,1,42.1786264521747,0.589402080729459
"44427",4,3244,0,42.4030376207891,0.598574023276093
"22977",9,3450,0,73.8444212222418,3.00744134387511
"6417",6,3244,0,55.545659306827,1.31318088371107
"1201",4,3398,1,45.5232593231202,0.735955795565893
"8967",4,3450,0,47.6972782373182,0.842964050447985
"1007",14,3396,0,90.9029078399586,5.50622574696384
"53527",7,3452,1,64.1253540970558,1.9945702366583
"312918",11,882,0,77.6467425952775,3.48057756710064
"30047",4,3184,0,48.0793374863911,0.862763664398653
"30517",5,3452,1,49.6779494353133,0.948918555226466
"4933",4,3448,0,48.5383999031676,0.886954538954756
"16007",5,3450,0,46.3702084811631,0.776512258713911
"4021",6,3299,1,62.1529032722096,1.82123260894957
"2151",10,3398,0,73.5426406356609,2.97181530082443
"38887",7,3244,1,66.5729389464901,2.22427806506498
"349918",5,882,0,54.7120419781571,1.25664901113253
"31277",7,3184,0,62.1223389501709,1.81862760864801
"51337",5,3450,1,50.4511112196392,0.99253659400453
"4336",4,3347,0,51.4391668844981,1.0501661366857
"35520",12,882,0,98.2538042354171,6.90445439216124
"2321",4,3010,0,44.6005860011588,0.693383861084123
"11087",5,3242,1,50.9227321033709,1.0197781948336
"1962",5,3396,1,50.4155140941939,0.990500062959931
"3055",10,3398,1,73.5730702327037,2.97539497405095
"7087",9,3244,0,79.7603379004285,3.76350772677408
"2562",5,3398,1,49.7227055776372,0.95140847018609
"48110",3,3242,0,38.6042977396849,0.455514751238686
"5281",12,3495,1,81.0367865117825,3.9414672182803
"2617",7,3208,1,67.8984609699837,2.35561918444294
"2746",5,3151,1,46.7788714672697,0.796594730985462
"1657",10,2776,0,80.1616597458842,3.81887799775872
"2206",4,3622,0,44.1969306147381,0.675279746041039
"654",6,3085,0,51.914485012391,1.07865451644633
"2929",4,2904,0,43.5132908648019,0.645330959625552
"217",4,2902,1,39.9686713622497,0.503961135950365
"4108",5,3085,0,50.837089224169,1.01479531364376
"984",9,3211,0,78.1095146001944,3.54128718251251
"2923",5,2902,0,55.1767270387372,1.28796024352049
"207",3,2902,1,39.005104505397,0.469414058903361
"52817",12,3495,1,81.0367865117825,3.9414672182803
"4573",10,3144,0,82.8052324124277,4.19701794673156
"3125",10,3151,0,83.6901368676308,4.32887289770568
"1350",4,3087,1,44.6580285961403,0.695985782983087
"3262",3,3209,1,40.1086987487418,0.509116216687086
"813",5,3025,1,54.3504866473098,1.23263554457143
"2967",6,3211,0,69.0549961600557,2.47428910049799
"514",4,3151,0,45.2886337733631,0.724972134112744
"3137",5,3210,0,61.3094505582925,1.75023953364974
"3673",7,2904,0,65.3444923951669,2.10693356655737
"1545",8,3087,0,68.27568289748,2.39390492622605
"5080",5,3026,0,46.3291288822249,0.774512116090671
"4804",6,2776,1,57.8499039482576,1.47806445809723
"4396",13,3268,0,87.1460686509704,4.86982979979295
"5585",6,2842,1,58.0944770526034,1.49632209548377
"312917",11,882,0,77.6467425952775,3.48057756710064
"349917",5,882,0,54.7120419781571,1.25664901113253
"374717",7,882,1,68.2104545055324,2.38725565266301
"5240",9,3268,1,76.0216633239945,3.27280722148069
"4478",6,3027,1,57.8010393670858,1.47443428345843
"400",9,2776,1,78.13979181733,3.54528319567575
"1243",7,3211,1,68.1090815239602,2.37694593809391
"4137",8,3083,0,76.979379126359,3.39423729269567
"5254",14,3623,0,91.1626895829051,5.5521415871669
"89216",11,882,1,87.5036483833378,4.92820554903391
"3369",5,3269,0,48.9901278326217,0.911189342902516
"1715",4,3027,0,47.2152619312584,0.818412923777591
"1362",7,2902,1,68.3124460166551,2.39765784780223
"4678",4,3737,1,46.2421799439363,0.770289780884005
"2810",6,3210,0,57.0322990008604,1.41809211358128
"901",5,3612,0,54.8065736012906,1.26297775568421
"163",3,3083,1,38.6553689470271,0.45727058933602
"4304",6,3663,1,58.0971908867306,1.49652551185632
"519",5,3083,1,51.6216771624437,1.06104579010495
"4314",4,3209,1,43.9370616558669,0.663790332561265
"3178",6,3086,0,59.6726436223293,1.61770283042396
"2431",6,3663,1,63.1501752798482,1.90757953996929
"259",8,2776,0,75.2531927133406,3.17746102317804
"434",7,3027,0,64.3479274638253,2.01478294160067
"2858",11,3211,0,85.8311568603436,4.65907322965723
"1279",3,3663,1,39.6057179289703,0.490758855962545
"1743",7,3663,0,58.4086574587389,1.51999236645203
"4741",5,3083,0,51.3521546982487,1.04500511870098
"504",4,3408,0,43.7850888698545,0.657131113666641
"4291",9,3151,0,78.8383217242026,3.638299390742
"4692",5,3209,0,54.9221259931739,1.2707421772176
"1159",4,2842,0,44.2108697711532,0.675899689232862
"35519",12,882,0,98.2538042354171,6.90445439216124
"5836",3,3622,1,39.1834480269201,0.475687124600081
"5751",7,3624,0,65.4620176062017,2.11797973339958
"881",10,1851,0,84.2116136762386,4.40783343103889
"4457",5,1134,0,45.7450862728505,0.746440229162533
"1798",5,1728,0,54.620388884681,1.25053288833185
"3496",5,1863,1,52.6775461592989,1.12544168245754
"2726",9,2444,1,75.0660842685234,3.15452542867451
"5176",6,1807,0,59.073648619604,1.5709003259338
"279",4,1337,0,40.5186697116682,0.524407934679861
"3667",6,2574,1,61.358536109194,1.75432036583153
"5444",3,1422,1,38.0589110174841,0.437039495177359
"4601",3,1814,1,38.3923886755485,0.448276553276902
"3672",4,1140,1,50.4596349939117,0.993024651280127
"1916",7,1684,1,66.5929936660364,2.22622847484537
"4745",6,2229,1,56.0521139346853,1.34832750468152
