"","age","polygon","sex","length","weight"
"3057",5,1967,0,56.2777703791523,1.36418419981084
"1886",6,2549,1,55.4058682674231,1.30358682233706
"2040",5,2897,0,53.4060385316495,1.17133372215185
"7324",3,2201,0,39.6339297659586,0.491776814309577
"922",7,2958,0,69.0511662336984,2.4738897853865
"564",8,2611,1,72.9388694813809,2.90137226817164
"4462",4,2837,1,47.9858165374543,0.857889184948453
"6513",3,424,0,39.686073045431,0.493661928990946
"1469",6,2306,1,63.9440823802877,1.9782069859449
"1301",6,1967,1,66.3194826457284,2.19972490792891
"5048",4,2312,1,49.1743712322827,0.921197261696271
"4303",4,2374,0,45.7757593783824,0.747897631265563
"341",8,2201,0,66.0700060314212,2.17573166976926
"1946",6,2824,0,58.4286054682443,1.52150348444868
"1137",7,2492,0,67.2286445039702,2.28863143018723
"280",8,2552,1,71.5975407290909,2.74881917222574
"3773",4,2487,0,41.1218864927651,0.547450935703532
"3999",4,3021,1,48.2579658043376,0.872124542512943
"2922",5,2373,1,53.073380254113,1.15022823513392
"4726",4,2001,1,42.003979725722,0.582328259270334
"211",8,2311,0,64.0068537991204,1.98386329826405
"3664",4,2152,1,47.9137118257581,0.85414332480462
"1009",7,2001,1,75.508790119129,3.20896842570245
"3279",4,2151,1,48.4738612331445,0.883527040186595
"1833",6,1800,1,58.3033781149705,1.51203347588327
"1649",6,2899,1,61.7444378313699,1.78662086664412
"947",7,2545,1,69.1333244320357,2.4824650316491
"1994",5,2543,1,45.3288338360341,0.72684635125987
"3039",5,1930,0,49.5534885280175,0.942016925162938
"365",8,2549,1,69.7708321760838,2.54966864262116
"4201",4,2426,0,44.8134443767606,0.703057606886986
"2751",5,2761,1,61.5374913550957,1.76925107261412
"4931",4,2959,1,44.6776130459397,0.696874343593313
"1836",6,2373,0,58.0401017088751,1.49225019660757
"3647",4,2374,1,44.0139341239273,0.667175570165945
"2077",5,2250,1,44.8556982201672,0.704988386887032
"2038",5,1712,0,56.4937362416913,1.37947410430986
"713",8,1665,0,65.966385290763,2.16581673146264
"154",8,2367,1,79.237557542333,3.69217373418562
"3322",4,3009,1,45.295962252928,0.725313567570703
"2233",5,425,1,47.7208790249485,0.844178390012452
"2987",5,2553,1,51.7904508352935,1.07117218679776
"228",8,2949,0,78.5663099266978,3.60189029125454
"4674",4,2755,1,45.0699047435154,0.714830061529514
"4792",4,2490,0,43.8439456920835,0.65970490290602
"4544",4,1967,1,51.1160837631868,1.03108679038755
"3356",4,2493,0,45.2951451056981,0.725275491499452
"1083",7,2552,1,66.9656672394179,2.26267713653461
"1019",7,1710,1,65.7869296033488,2.14871577486805
"4177",4,2367,1,52.5921701791529,1.12014195224077
"1811",6,2201,1,65.6776810764874,2.13834863445373
"989",7,2074,1,69.1343330770575,2.48257042982332
"3283",4,2153,0,43.822518017795,0.658767113356176
"2420",5,2486,1,52.1944980397129,1.09567218260042
"3570",4,1967,1,42.8550722878224,0.617332555323202
"5024",4,1966,0,46.3758989321858,0.776789590623992
"1720",6,2252,1,69.9261721273827,2.56622287512126
"4947",4,2486,0,41.7757926780458,0.573170143448629
"4000",4,2480,0,43.2373237099539,0.633492978542161
"958",7,1889,0,64.7660228799987,2.05311426912659
"2032",5,2198,0,54.2090617907811,1.22332510305164
"4391",4,2074,0,45.8044739934095,0.749263669098881
"1057",7,2372,1,67.0404719368354,2.27004014771024
"2596",5,1665,1,58.381572922694,1.51794221363794
"1629",6,2555,1,57.422924835509,1.44654162699553
"1143",7,2487,0,68.2286558660061,2.38910984804203
"1452",6,2492,1,55.7962319021841,1.33049381099833
"4091",4,1623,0,46.8503174487606,0.800140347580171
"4980",4,2250,1,45.5759020216943,0.738435095290357
"4057",4,2959,1,39.5406560629275,0.488416525123531
"2773",5,3021,0,48.804677098175,0.901188179077765
"2635",5,1624,0,52.0289933753204,1.0855925833096
"375",8,3022,0,72.5272888686583,2.85398631063866
"6710",3,1967,0,38.0215220094225,0.435791267695775
"3051",5,1889,1,47.9416776871153,0.855594882083026
"1603",6,1844,0,63.0056814659586,1.89490591157728
"2799",5,2198,1,56.461218684372,1.37716477746147
"2304",5,1889,0,51.6287041064165,1.06146614678384
"5051",4,2366,0,41.3020661778804,0.55446043300246
"3588",4,2250,0,47.0668119680313,0.810947432003122
"3262",4,2489,1,54.0308734449957,1.211660279071
"2177",5,2479,1,57.6030284673549,1.45978385978644
"798",7,473,0,61.3189881386234,1.7510319725414
"478",8,1888,1,79.2853235453768,3.69865430011789
"1838",6,2492,0,55.1880385177587,1.28872874362028
"362",8,1845,0,82.0112706767543,4.08098209278237
"4297",4,1584,1,40.2591450176098,0.514693304330373
"3525",4,1801,0,50.3943706013889,0.989291731520075
"4927",4,2689,0,45.6451434685563,0.741704480743352
"2180",5,2689,0,42.8318453051312,0.616359409502837
"7554",3,2898,1,39.274456296396,0.478909346995933
"88",13,2036,1,87.8180446995447,4.97990933423532
"1264",6,2761,0,59.7222652507043,1.62162054064927
"4967",4,2549,1,43.4916396822682,0.644396998514446
"3548",4,2486,0,38.7203622951652,0.459511489380388
"1404",6,2545,0,59.0734450276298,1.5708845713459
"4780",4,2690,1,44.1773536665452,0.674409692723263
"1898",6,2492,1,62.2721118213697,1.83141616859228
"555",8,2198,1,67.4301093993648,2.3086464542277
"358",8,2249,0,69.8983000687635,2.56324743424876
"1645",6,2365,1,59.0015790345465,1.56532983152273
"4439",4,3079,1,38.4572975792915,0.45048557077081
"1825",6,2552,0,74.5846621708954,3.09601323504884
"1084",7,2888,1,66.3917978191396,2.20671208621884
"1518",6,2427,1,56.6556084022044,1.39100773935641
"1281",6,3458,0,64.100289525342,1.9923024055372
"5692",3,3310,0,39.9829489830374,0.504485187868309
"4090",4,3353,1,40.9588548449985,0.541158893558434
"1790",6,3254,1,59.1141276352906,1.57403478016473
"4159",4,3202,1,42.475879721426,0.601571174212649
"1269",6,3202,0,58.8697581856741,1.55517454161651
"3889",4,3456,1,44.7469963072505,0.700028303269169
"103",13,3261,1,84.5517005922612,4.45983421421283
"7135",3,3310,0,43.7168913403633,0.654157111677647
"1901",6,3262,0,61.4290529614815,1.76019385786129
"4375",4,3261,0,42.5270271037563,0.603681552717595
"4661",4,3309,1,45.5489872217801,0.73716681207573
"664",8,3261,0,68.6506865455563,2.43236810438757
"4618",4,3357,1,45.9403031732162,0.755747655797666
"4685",4,3262,0,44.3326841091325,0.6813332784581
"4136",4,3357,1,41.9837370005437,0.581511978626069
"3592",4,3260,0,40.3232353448028,0.517081277960268
"3236",4,3310,0,45.9216888355848,0.754856906548731
"4173",4,3353,1,40.8430519089772,0.536718552282085
"4450",4,3456,1,40.9962510256239,0.542597943437397
"1579",6,3254,0,54.9896576311527,1.27529436576355
"3112",5,3407,0,55.7206483455282,1.32525580089293
"8045",3,3458,1,45.323816401422,0.726612253709477
"4824",4,3310,1,46.5708391169298,0.786329572313354
"1738",6,3456,0,62.5331725078695,1.85384803392143
"4392",4,3261,1,38.3831945012516,0.447964227892218
"3848",4,3261,1,38.0188906000989,0.435703506664207
"1319",6,3253,0,59.714799924001,1.62103074315
"233",8,3202,1,82.0176278383673,4.08190271094519
"3028",5,3261,1,49.9108205625845,0.961920745574072
"2964",5,3353,1,51.9696829015612,1.081995314133
"4451",4,3407,1,39.1810828386313,0.475603573452359
"979",7,3352,0,74.9841407156685,3.14451517200718
"4387",4,3261,0,46.0257804900159,0.759846847839193
"732",8,3254,0,66.6832529941278,2.23502048732165
"439",8,3261,1,62.7309214120663,1.87095927815357
"3566",4,3458,1,46.5253017454571,0.784094220540956
"6313",3,3262,1,40.9912669817848,0.542406006562834
"2470",5,2842,1,51.6501124964951,1.06274748532812
"1234",6,3687,1,63.2140397653689,1.91319880959454
"1561",6,3150,0,64.622940866472,2.03994300988821
"272",8,4102,0,67.9565024267167,2.36148368366447
"3729",4,3149,1,41.1588752570384,0.548885129998205
"1211",7,4062,1,62.3565045363482,1.83864808414311
"3573",4,3503,1,46.6790765497447,0.791659539926914
"302",8,3905,0,78.4547050662302,3.5870213202258
"1682",6,3316,0,52.1245451722123,1.09140443794135
"1889",6,4025,1,62.3689773211045,1.83971850909778
"1822",6,3025,1,60.2691940988225,1.66521476629049
"2566",5,3025,1,52.6810640274542,1.12566040709456
"1614",6,3503,1,56.687060489796,1.39325606559612
"12817",6,3458,0,64.100289525342,1.9923024055372
"3350",4,2964,0,43.9993059974621,0.666530519556058
"4832",4,3731,0,44.267164848193,0.678407210315312
"1802",6,3413,0,67.682882001434,2.33392082200432
"1602",6,3148,0,61.9615222590493,1.80496146638311
"3061",5,3464,1,51.3985057686114,1.04775229672602
"3138",5,3693,0,56.6118815227899,1.38788591859919
"4775",4,3624,1,43.2592057142847,0.634426389668064
"6647",3,3087,1,40.0790548483043,0.508022008107467
"4337",4,3264,0,45.863347750796,0.752069583959852
"1742",6,4225,0,55.2470489009878,1.29274278065284
"802",7,3263,1,63.9735483825106,1.98086083784872
"4543",4,3313,0,51.2484857591131,1.03887789407137
"866",7,3731,1,65.5398452907446,2.12531561827826
"1753",6,3654,0,54.6859929508782,1.25490873531551
"38897",4,3456,1,44.7469963072505,0.700028303269169
"1899",6,3263,0,65.7664248722057,2.14676746897315
"2452",5,3462,1,51.8068816023877,1.07216140477241
"2989",5,3207,0,47.3966391181527,0.827595360098259
"817",7,3647,1,65.414449775529,2.11350427698284
"2945",5,3144,1,47.5919627896888,0.837559191037954
"2341",5,3360,0,49.7777798939736,0.954478295529629
"806",7,2965,1,66.1476658620361,2.18318203941975
"5087",4,3025,1,48.0543064105531,0.861457223013991
"3059",5,4102,1,52.4424428400146,1.11088720196461
"4374",4,3089,0,40.0757318832968,0.507899447917684
"4643",4,2902,0,42.1666739942346,0.588916175125135
"4659",4,3366,1,41.3729572640783,0.557234360269965
"3731",4,3735,0,43.3968055580699,0.640316618234253
"4566",4,4105,1,45.3107419201899,0.726002472478917
"3747",4,3145,0,39.7828912755043,0.497174725841131
"32",10,3408,0,80.5308523926283,3.87028517551831
"3052",5,3264,0,47.2609150862525,0.82071783828977
"4147",4,3312,0,46.6945204708293,0.792421976938478
"3416",4,3362,1,42.4203456694575,0.599285288006712
"407",8,3207,1,67.1998910395794,2.28578416925146
"1853",6,3409,1,63.5528528500391,1.943191858711
"2237",5,3263,1,52.9207235195427,1.14062709801411
"1378",6,3027,0,56.2873610884692,1.36486082868687
"6938",3,3150,1,40.7129376390667,0.531758065150118
"2788",5,3150,1,48.7205756183902,0.896676525509733
"3590",4,3084,1,44.6244037809028,0.694461935883664
"2140",5,3264,1,59.2833300439438,1.58718124912887
"1115",7,3027,0,65.4382589593572,2.11574360588135
"2780",5,4023,0,48.66162039595,0.893522707144386
"2283",5,3087,0,50.418610015223,0.990677073301173
"4564",4,3736,1,42.4244948619712,0.599455879179311
"2931",5,3730,0,44.1183893935476,0.671793604779451
"3954",4,2902,0,38.8526447513002,0.464094683958398
"2232",5,3652,0,56.3150237929052,1.36681367884488
"2146",5,3613,1,51.083886601059,1.02919798610038
"2106",5,2964,1,54.2109027799575,1.2234460036099
"2508",5,3612,1,57.4623729670383,1.44943530326431
"4757",4,3264,0,48.9692061414807,0.910057430814502
"2206",5,3361,0,54.494176200739,1.24214258697941
"2436",5,3364,1,54.605681279325,1.24955325489059
"394",8,3313,1,82.3678557049922,4.1328321470212
"4525",4,3150,1,39.5211663749852,0.487716296429106
"4819",4,3364,0,48.5300129596533,0.886508635389107
"2372",5,3688,0,56.5137225459152,1.3808947489539
"4186",4,3410,0,45.8571152730155,0.751772219105813
"6316",3,3614,0,38.174007059511,0.440896687714369
"4714",4,3613,1,40.120367056075,0.509547338363145
"4328",4,3464,1,42.2130189657716,0.590801714069984
"3098",5,3502,0,54.2304537808872,1.22473043148358
"4482",4,4025,0,44.5178469913339,0.68964734535881
"2117",5,3729,0,43.1550551330121,0.629991749212564
"3208",4,4060,1,39.2328172175604,0.477433309362765
"1944",6,3504,0,51.1933156441563,1.03562676828473
"779",7,3729,1,73.4259581269512,2.95811522038963
"325",8,3535,0,74.0876733840729,3.0363611000975
"997",7,3464,1,63.5486095425467,1.94281432961133
"17387",6,3456,0,62.5331725078695,1.85384803392143
"5038",4,3204,1,50.5797240524153,0.999917504219477
"4665",4,4185,1,50.1930402022544,0.977834318399116
"3572",4,3905,1,47.817446445509,0.8491590673259
"5571",3,3905,0,40.6977822189285,0.531182243203374
"3276",4,2964,0,40.3750198550745,0.51901604564179
"3770",4,4104,0,47.2386572245274,0.819593562575307
"2804",5,3145,1,56.7059577264836,1.3946080651571
"7472",3,3410,0,38.7512544915021,0.460579141070978
"2510",5,3264,1,53.6871111887248,1.18936318050078
"775",7,3207,0,62.302760510918,1.83404040200656
"9",11,3664,0,86.4642131440701,4.75977682921282
"1045",7,3318,0,60.8681441610351,1.71383008121729
"1229",7,3364,0,73.726361714136,2.99347090141673
"5594",3,3575,1,39.3458012695005,0.481445367073603
"4456",4,4025,0,42.8481419444755,0.617042087777782
"4884",4,3652,1,45.6526645195284,0.74206017445287
"4395",4,3145,1,45.3407049563096,0.727400417101288
"3296",4,3613,1,38.4831115708084,0.451366069306905
"4536",4,4144,1,44.4904884203755,0.688414739010072
"2698",5,3663,0,50.8942292320787,1.01811805964361
"3490",4,3316,0,40.5768359384504,0.52660161430113
"1333",6,3408,0,58.7816863188072,1.54841376745529
"485",8,3366,1,69.5561408464676,2.52690507004822
"1934",6,3408,1,63.8875441121851,1.97312141064382
"473",8,3736,1,77.2828817777246,3.43332654567611
"1201",7,4023,1,58.4057944403342,1.51977556560147
"718",8,3314,0,66.1544982183386,2.18383830822309
"1296",6,2904,1,62.9784596919849,1.89252447981234
"3913",4,3818,1,43.4159614384026,0.641139457821271
"2071",5,4024,1,51.6923717272541,1.06527977092336
"5028",4,4147,1,46.4120604758134,0.778553492263797
"2215",5,4225,0,55.7606027630896,1.32802298914711
"4996",4,3361,1,40.4710511963902,0.522616523048653
"944",7,4022,1,65.6369156141443,2.13448862289873
"2700",5,3317,0,54.0176026569541,1.21079446087033
"2994",5,3460,1,55.1812397854998,1.28826680274949
"1749",6,3361,0,55.4709989886865,1.30805109304469
"2809",5,3363,1,58.2679555291638,1.50936176828033
"3517",4,3147,1,44.5520401255409,0.69118990986604
"2527",5,3736,0,49.9114224133265,0.961954500050173
"551",8,3502,1,75.3367971876916,3.18774446512837
"3798",4,3145,0,38.7089393553196,0.459117117919966
"1283",6,3360,1,56.6352488115149,1.38955362146746
"6691",3,3464,0,42.0306223731886,0.583403760313848
"3494",4,3731,0,46.8298826841535,0.799125185599082
"5109",4,4185,0,48.5970724806565,0.890078066222188
"4539",4,3410,0,44.7890579568477,0.701944856116205
"7655",3,4060,0,39.4782894422501,0.486178127055862
"400",8,3462,0,69.1535068764163,2.48457455105962
"3066",5,4103,1,54.5630084326249,1.24671378424107
"4056",4,3737,1,40.4574925158124,0.522107180319397
"77",11,3089,0,88.736419196681,5.13297575366915
"2408",5,3084,0,53.7384579153825,1.19267637407459
"44507",4,3456,1,40.9962510256239,0.542597943437397
"2449",5,4225,0,55.0746731287273,1.28104031201447
"5014",4,2902,0,45.1887128006986,0.720327341658473
"7",9,4102,0,72.5913102139084,2.86132357690872
"867",7,3413,0,62.7372198322253,1.87150597796959
"1003",7,3693,1,75.8840840391016,3.25560128693962
"4963",4,2965,1,38.3665230108467,0.447398263021093
"3595",4,4185,1,48.2733293762143,0.8729327571598
"4292",4,3087,1,38.5819991479022,0.454749511309884
"236",8,3775,1,73.6340853447697,2.98258118657124
"2265",5,3149,0,56.770280545407,1.39921648363308
"675",8,2842,1,68.9605311651937,2.46445234833607
"4390",4,3148,0,44.784848876168,0.701752913093395
"4435",4,3502,1,41.9219333678321,0.579024416942353
"5004",4,3859,0,50.3013773590219,0.983988737437116
"4242",4,2903,1,50.3116960070392,0.984576241826105
"2657",5,4105,1,51.9429339876331,1.08037551574382
"80457",3,3458,1,45.323816401422,0.726612253709477
"2222",5,3410,1,46.5349973410971,0.784569810817098
"2968",5,3314,0,48.3945444356043,0.879326631501116
"2893",5,3149,0,52.1096551079942,1.090497422853
"3435",4,3150,1,40.4418277217266,0.521519125540136
"3753",4,2902,1,38.8594237431949,0.464330360563541
"3485",4,2842,0,43.5560319673226,0.647177278043858
"1543",6,3366,1,55.6852481395797,1.32280719549087
"1251",6,4105,1,67.80673731692,2.34637094496103
"3075",5,3414,0,57.6952567618453,1.46659569731361
"2580",5,3149,0,52.4088145421044,1.10881553977609
"2055",5,3409,0,54.2635447614267,1.22690640170041
"4178",4,4106,0,47.7413402797247,0.845232118853702
"808",7,3614,1,66.7188977931348,2.23849885566497
"550",8,3365,0,71.7664188922825,2.76772921144985
"1634",6,3652,1,57.9992707349968,1.48919735412912
"1792",6,3736,1,56.2584749136706,1.362823563144
"4060",4,4061,0,48.2336578255609,0.870846802773982
"2600",5,4023,0,50.7750969598328,1.01119846305357
"2440",5,3614,0,53.8917432725166,1.20260327158675
"3524",4,4024,1,41.1040107822311,0.546758709287246
"2019",5,3775,0,58.5164366243409,1.52816867113956
"3944",4,3775,0,42.1389748579335,0.587791127588469
"1633",6,3535,0,66.2682645145665,2.19478494594452
"2256",5,4023,1,55.3771003363568,1.30161816355934
"1166",7,3652,0,71.0259684928343,2.68544729628455
"1570",6,3085,1,57.0561807893893,1.41982080334938
"393",8,3147,1,79.1408257966791,3.67907266819416
"1952",6,3535,0,59.3917915903522,1.59564613835163
"2500",5,3086,1,54.5451422407954,1.24552621860952
"3589",4,3692,1,40.0977625596521,0.508712362802145
"5045",4,3318,1,43.7559493035847,0.655859293190862
"4619",4,4103,0,45.9259242014629,0.755059520317989
"2902",5,3505,1,49.814428731324,0.956524688549229
"2959",5,4105,1,49.0277344454983,0.913226270550676
"7617",3,4062,1,38.1979080578084,0.441700468771324
"7353",3,3083,0,38.9653731951131,0.468023984727498
"305",8,4023,0,72.1739682574437,2.81371551533589
"2853",5,4023,0,52.9284818012238,1.14111377100665
"5078",4,3905,1,41.798756238203,0.574087459579273
"1917",6,3818,0,58.9492360631814,1.56129221017852
"2249",5,3083,0,56.8950196534415,1.40818189999611
"2649",5,3317,1,57.037372112345,1.4184592165112
"3149",5,3535,1,53.976606612741,1.20812234523012
"1573",6,3365,1,57.9786576790328,1.48765771946014
"3434",4,4061,0,44.0766617377417,0.669946290227966
"4085",4,3314,1,43.7082623340185,0.653781443243767
"6280",3,4023,1,42.0946941324607,0.585995522341856
"3673",4,4060,1,39.8767063391289,0.500594173191624
"4923",4,3207,1,40.9844011103414,0.542141672985479
"4351",4,2965,1,43.1209037559548,0.628542055917314
"4271",4,3464,1,39.0467895960418,0.47087539984412
"2034",5,3144,0,46.8467411882164,0.799962624384835
"2354",5,3412,0,53.3195187119144,1.16582022982719
"1698",6,3264,1,60.5840819682795,1.69065896413572
"876",7,3463,0,64.5781381656688,2.03583017834843
"396",8,3613,1,67.1233919440283,2.27822030540744
"4457",4,3084,1,41.0127633791376,0.543234157123184
"274",8,3365,0,67.8697448310465,2.35272124861359
"2384",5,3461,0,54.8731603929308,1.26744817149613
"2463",5,4062,1,44.0931133069868,0.670674214844086
"267",8,3145,0,74.9966487126777,3.1460418034932
"4436",4,3312,1,43.0155658874692,0.624084360442673
"1661",6,3663,0,55.7476713508731,1.32712696257376
"1766",6,2965,1,59.8172583157862,1.62913776249528
"153",8,2842,0,70.1126180655427,2.5861849592126
"1237",6,3688,0,56.2413292465291,1.36161526906451
"6685",3,3777,1,41.4734276210393,0.561181286564578
