"","age","polygon","sex","length","weight"
"7885",3,3728,0,39.1837357941934,0.475697290742353
"2092",13,3248,0,91.2652754961827,5.5703423986578
"131",5,3246,1,58.9645111053433,1.56246978601224
"1135",5,3729,0,48.3252336527738,0.875666864325419
"5747",3,3245,0,40.7964444571699,0.534938210485085
"497",7,3245,0,68.6004396221181,2.42719104346701
"1468",6,3245,1,54.0551588870933,1.21324577193121
"1272",5,2767,1,54.3101430622346,1.22997487572947
"4350",3,3189,0,39.3945944399788,0.483184828778377
"1386",4,3729,0,43.0387565526413,0.625063957414723
"1567",4,3248,1,46.0127094048494,0.759219061668364
"1103",4,3248,1,44.2617806381406,0.678167120750997
"1657",5,3069,1,55.5106874042331,1.3107763796421
"4599",3,3249,1,39.1983176040804,0.476212618569461
"3824",3,3190,1,38.190115339114,0.441438297166059
"5696",3,2767,1,40.5216563431161,0.524520426066322
"1964",21,2767,0,112.121697339911,10.1388712089672
"794",16,2767,1,100.767318200447,7.43109842536915
"4848",3,3249,1,42.2533214123881,0.592444631161935
"1659",8,3248,1,72.7466543783993,2.87917848013428
"5622",3,3069,1,40.1290261577844,0.509867430481903
"1024",4,3248,0,47.0059794226622,0.807901145665333
"1015",5,3128,1,45.10285981209,0.716352131450751
"4064",3,3249,0,39.3700090644955,0.482307852948068
"4507",3,3189,0,40.3094083290546,0.516565476388891
"832",11,3245,0,83.1913475975667,4.25422180254193
"404",5,3129,1,47.5498314581688,0.835403369302351
"215",6,2427,0,51.0681569615144,1.02827605378298
"1343",4,2372,1,42.485173317931,0.601954274237649
"3175",3,1889,0,39.2864707312217,0.479335795245717
"5061",3,2307,0,40.0445677199819,0.506750971263342
"1312",5,2252,0,48.8429183259197,0.90324456108554
"443",4,2371,0,47.3061522089199,0.823005946891747
"677",6,2484,0,63.1183138594166,1.9047801916326
"2515",3,2424,0,39.6894753127246,0.493785094323444
"955",4,1888,1,48.1470936467521,0.866306569304266
"284",6,1583,0,63.3979224366857,1.92943881630472
"708",15,2073,0,96.3055101617094,6.51354610323207
"1353",6,3020,0,61.8026340499764,1.79152557478716
"1673",5,1889,1,56.260636926629,1.36297597505182
"2032",4,3021,1,38.9891316057058,0.468854891889243
"869",5,2109,0,44.5425619422069,0.690762091279729
"4972",7,3245,0,68.6004396221181,2.42719104346701
"8729",3,2036,0,40.9094662134698,0.539262201789337
"1595",6,2151,0,55.5373057034299,1.31260626615508
"1137",5,2198,0,52.0152609826565,1.08475899584939
"899",7,1889,1,60.1159065855658,1.6529200277002
"9808",3,2036,0,38.1979544675051,0.441702030445768
"1744",7,2826,0,68.7901561073612,2.44677595324267
"1762",6,2199,0,60.0557838429371,1.64811407665201
"675",8,2202,0,68.8408709389481,2.45202888328562
"2444",3,2372,1,40.1046130220202,0.508965313499942
"61",11,2109,1,86.6363568376734,4.78740548495345
"94",13,3022,0,85.7703026469284,4.64946719568724
"2000",4,3021,1,44.3977430307736,0.684246972349397
"2828",3,2427,0,40.3769011584504,0.519086424008665
"12729",5,2767,1,54.3101430622346,1.22997487572947
"2007",12,2431,0,89.2374124351073,5.21776318755216
"322",6,2074,0,51.6901280400018,1.06514522376541
"1323",5,1624,0,53.418381683775,1.17212168402774
"691",6,2071,0,55.3201384124446,1.29772588127135
"1350",4,2071,0,45.1111330795278,0.716734576114691
"1824",7,1624,1,58.5808294716141,1.53306736559793
"433",7,3021,1,73.3139110260028,2.94499847756519
"453",9,3020,0,71.2092542276888,2.70566309601598
"1692",4,2374,0,40.6469641658241,0.529254426151673
"936",6,2370,1,56.2890853757857,1.36498250129274
"1578",5,2754,0,54.9813150828164,1.27473143080195
"490",4,2826,1,40.9356473217977,0.540267101187039
"1321",4,2203,0,43.6355474912839,0.650621386291997
"1105",5,2690,0,57.1177872133027,1.42428658587499
"2086",6,2431,0,62.435300329219,1.84541727639205
"1947",6,3020,1,54.1793338971309,1.22137391262782
"368",7,2432,0,64.3122551216341,2.01153440047234
"56969",3,2767,1,40.5216563431161,0.524520426066322
"3271",3,1712,0,39.6024232821938,0.490640066586179
"1553",4,2072,0,45.3154964217493,0.726224178980452
"765",6,1930,0,60.8377230997438,1.71133871399781
"1356",9,1542,0,79.3379017811065,3.70579638402493
"1707",4,3127,1,42.479987046449,0.601740466354764
"1298",5,2074,1,54.4934304277377,1.24209312000706
"1748",8,2948,0,74.525191766029,3.08883502080841
"3393",3,2948,0,40.0231496354764,0.505962650902463
"771",6,1712,0,57.4273806723965,1.4468682900982
"75",5,2430,0,48.7338070994756,0.897385347971298
"302",5,2202,0,49.3207614532853,0.929200263903486
"1222",5,2110,1,49.6084276631173,0.94505934411705
"1838",6,2110,0,60.4224538357426,1.67756713213739
"1251",5,2826,1,56.9036922240116,1.40880662452297
"8323",11,3245,0,83.1913475975667,4.25422180254193
"172",5,2151,0,45.8652593544558,0.752160806130374
"1377",5,1542,1,54.016194884307,1.21070263822038
"203",5,1929,1,42.0945554350266,0.58598990375643
"1697",5,2431,1,49.2829796274209,0.927130419388436
"8883",3,1583,0,39.6752441061218,0.493270045254027
"1575",10,1931,1,83.5953235612502,4.31461705584816
"267",4,1931,1,42.0126549693986,0.582678315454508
"1209",8,2432,0,72.4061196892535,2.84013335371568
"57473",3,3245,0,40.7964444571699,0.534938210485085
"19649",21,2767,0,112.121697339911,10.1388712089672
"419",4,3460,1,46.3074317142451,0.773457059227092
"56968",3,2767,1,40.5216563431161,0.524520426066322
"1087",12,3086,1,89.786717291737,5.31177752866203
"12728",5,2767,1,54.3101430622346,1.22997487572947
"1030",10,3359,0,74.9539113173909,3.14082760814015
"1450",6,2903,1,55.7430238760928,1.32680503276212
"1738",5,3268,1,49.8234679616332,0.957029862244127
"5236",3,3314,1,38.5770906301114,0.454581174882736
"8888",3,3411,1,38.468504754044,0.450867701633802
"326",5,3086,0,48.3042256391187,0.874559571161551
"394",4,3359,1,44.5224092938865,0.689853035033742
"1212",6,3576,1,52.4806232104385,1.11324237106675
"1651",5,3268,0,49.3384956654546,0.930172862330383
"1000",4,3359,1,41.7682199890623,0.5728678513569
"1483",7,4186,1,65.2738639684326,2.10031344443098
"806",8,3730,1,70.077899098802,2.58246003209017
"2010",7,2904,0,71.0757168595143,2.69092453603725
"1512",5,4186,1,55.7947996180678,1.33039442630406
"1436",5,2964,0,52.1726366877882,1.09433727198612
"596",4,3364,0,39.9132815868994,0.501931467907207
"1662",5,3730,0,49.4498342634587,0.936294280800872
"821",5,3412,1,53.2317259815046,1.16024306074478
"1771",9,2903,0,70.3504554093465,2.61179690229653
"1210",5,3147,1,57.693040804784,1.46643178608862
"11353",5,3729,0,48.3252336527738,0.875666864325419
"2753",3,3085,0,40.2851928199283,0.515662957368318
"438",5,3210,1,59.4791510556521,1.60248561730248
"9155",3,3314,0,38.5420875793436,0.453381939380471
"3366",3,3362,0,39.7511970290675,0.496022982660593
"636",7,3730,1,68.1572066903296,2.38183665512663
"1890",4,3689,0,49.0009196300473,0.911773565286446
"664",6,3413,1,57.4581571368632,1.4491258743126
"13863",4,3729,0,43.0387565526413,0.625063957414723
"1966",4,3693,1,46.2486214933687,0.770602070068375
"19648",21,2767,0,112.121697339911,10.1388712089672
"4165",3,3026,1,42.0812302147466,0.585450268527763
"7493",3,3694,1,39.5515173355209,0.48880703687031
"952",5,3316,0,50.9823584013672,1.0232568421562
"446",4,3460,1,45.819520663291,0.749980136431316
"1186",6,3085,1,59.8117721660519,1.62870299815766
"513",4,2904,0,38.9465650359768,0.467366889463958
"3958",3,3460,0,40.9695984951062,0.541572065313631
"81",5,3692,1,52.4310649748069,1.11018598754873
"250",11,3026,0,85.7378371530197,4.64434773457918
"719",8,3269,0,68.4178374696551,2.40843801392505
"3446",3,3460,0,38.0469963635677,0.436641471506441
"927",6,3776,0,64.7953155959213,2.05581764287612
"545",5,3026,0,50.1332904886042,0.974450891721868
"696",4,3269,1,44.4258464749401,0.685508123188143
"628",4,3363,1,41.7465022970822,0.572001489209553
"9086",3,2903,1,39.1038442604249,0.472880382816602
"1250",10,3689,0,80.44532460136,3.85833593375522
"1810",5,2964,1,49.5428141657085,0.941426547312908
"660",5,3210,0,58.4786871119011,1.52530165481379
"305",8,3689,1,73.9893183582286,3.0246459925964
"656",5,3409,1,53.0352677331032,1.14782625137307
"792",5,2964,0,54.5764521417411,1.24760787732384
"5820",3,3693,1,38.0394901166098,0.436390838297729
"518",6,2964,0,59.748331086124,1.62368097417292
"760",6,3147,0,61.0479967685266,1.72860796683302
"183",9,3085,1,77.3298993161204,3.43940841354744
"2806",3,3083,0,40.505036447756,0.523894639308858
"1404",7,3209,0,65.4193290136138,2.11396305792955
"932",5,3689,1,45.8690776812929,0.752343039314044
"1457",6,3085,1,55.7080047711067,1.3243809132227
"7947",16,2767,1,100.767318200447,7.43109842536915
"808",9,3148,1,78.0419304899876,3.53237804051157
"1998",5,3148,1,60.0524336618204,1.64784654783601
"212",6,3408,0,68.9920686007434,2.46773351925405
"670",6,3360,1,56.3724806838873,1.3708757099217
"1439",6,3314,0,61.8611928984013,1.79646975692517
"2786",3,575,1,38.2058892822498,0.441969088218261
"1915",5,1715,0,50.7852550886521,1.01178727324335
"1955",4,2447,0,41.2140274153057,0.551028164178519
"13773",5,1542,1,54.016194884307,1.21070263822038
"1369",11,1976,0,80.6507358604807,3.88707515719955
"2028",6,1715,0,60.0809183184911,1.65012210025981
"5498",3,924,1,39.5683479480794,0.489412578061
"959",4,2172,1,48.9583713470864,0.9094716061808
"1591",5,2008,1,60.0454730597966,1.64729079988199
"1006",4,1682,0,43.3175323301039,0.636918811498153
"7418",3,1502,1,38.4140625737227,0.449013379421141
"325",6,1630,0,66.026958403407,2.17160905322256
"88",5,1222,0,47.235687469809,0.819443632592908
"88833",3,1583,0,39.6752441061218,0.493270045254027
"4962",3,1181,1,38.4027743341588,0.44862952516057
"5623",3,1944,1,39.799248196619,0.497769809141432
"1475",12,1939,1,89.8596393648156,5.32434120038619
"1444",9,1639,0,83.1176529031041,4.24326449833945
"4768",3,716,1,43.8295321281091,0.659073991914439
"296",10,814,1,77.3685998613418,3.4444197542001
"1411",6,917,1,58.8927227812412,1.55694058129407
"5741",3,1823,0,38.6189075831854,0.45601658779537
"1740",7,2328,0,60.0616968656603,1.64858633082175
"7374",3,1031,0,39.996860620788,0.50499615050661
"880",6,1944,1,58.8697203957496,1.55517163655298
"1997",7,1140,0,67.860440620433,2.35178280124511
"550",5,1856,0,59.9690499538141,1.64119711934842
"1795",11,1938,0,82.3131641339086,4.12485168616251
"7389",3,813,0,39.124814323493,0.473618706781476
"492",6,1386,1,59.464620762824,1.6013466915579
"2081",9,1944,1,81.1436591861434,3.95661266994862
"1893",10,1823,0,73.9050222773101,3.01462909397951
"1664",13,2128,0,96.120333997006,6.47716744483711
"1270",4,1821,0,44.458086663541,0.686956789653585
"4538",3,671,0,38.9461846984752,0.467353607971825
"1431",6,1029,1,53.2438301164087,1.16101095157389
"783",6,2223,0,63.582942527186,1.94587033311277
"7875",3,1176,1,38.6355283738302,0.456587939873259
"630",6,1597,0,63.6951132443378,1.95587671846905
"575",6,1776,0,58.9277147350908,1.55963408757043
"965",5,2044,0,56.7185420125619,1.39550888323456
"237",5,810,1,57.6434849788075,1.46276935183232
"892",18,1682,0,105.096876618809,8.39883463479129
"547",6,1672,1,61.5422296453392,1.76964752977213
"1721",5,1138,1,47.3583852357229,0.825653114192828
"1818",6,1973,1,59.1099914998313,1.57371431431053
"2373",3,1851,1,38.9093748060535,0.466069368091507
"1800",8,1629,0,65.3350032266514,2.10604333543929
"1545",5,1345,1,48.8477725287191,0.903505810830166
"1654",9,1761,1,72.198300194314,2.81647678669042
"5794",3,2447,1,38.9912257094052,0.468928175749574
"1460",6,1975,1,61.4351069207251,1.76069870516022
"1424",4,1810,1,41.7427084924119,0.571850235049224
"495",4,1503,0,49.5830092874826,0.943650925129625
"756",8,1938,0,74.894313481291,3.13356582200698
"279",8,1810,0,78.2915897296005,3.56536223415147
"797",5,1141,0,57.3807677024226,1.44345342887085
"1421",17,1823,0,92.8524375287329,5.85694593132416
"706",6,1821,0,58.5512348634254,1.53081467390255
"5871",3,1138,1,40.0720715014105,0.507764465319812
"920",8,670,1,68.9835663361419,2.46684865717037
"134",8,1974,0,72.3579978788742,2.83464398092781
"1389",6,1941,0,55.9368434435475,1.34027443802369
"336",5,2015,0,55.7976695303284,1.33059357140933
"6144",3,761,1,38.2307191053881,0.442805456803598
"1862",4,1039,0,42.3302804017623,0.595590165541261
"1815",13,2167,1,99.2403935249411,7.10814298575119
"782",6,1585,0,62.3744405969076,1.8401875008438
"7683",3,813,0,39.2677099089459,0.478669995495644
"728",6,1629,1,58.7456368708965,1.5456520311718
"2210",3,936,0,39.6260401782825,0.491491997481316
"1656",8,1672,0,65.4344587040232,2.11538607547642
"1341",7,1900,0,67.9267258447381,2.35847386717062
"68",11,1806,0,90.5382403281475,5.44219312068694
"9887",3,1506,0,40.5904138853294,0.52711455821186
"913",5,1939,1,49.1066075992337,0.917508064940503
"1725",7,1597,0,62.9194803925149,1.8873715575297
"2001",5,1936,0,56.7139230790966,1.39517820282559
"353",6,935,0,59.3615999157655,1.59328685831045
"1841",7,2220,1,58.3924626127273,1.51876628593308
"135",10,1265,0,86.5977300946866,4.78119684922613
"2863",3,1503,0,39.323606206783,0.480655481834281
"3156",3,1821,1,40.1319959253679,0.509977241216078
"2014",5,1939,0,53.212297106026,1.15901118275059
"1884",14,1728,1,103.19662527118,7.9645139330226
"5839",3,1942,0,40.6205437521067,0.528253966981374
"1596",5,1345,1,52.1908137804284,1.09544713737175
"1857",5,2276,1,45.5294734383618,0.736248175313589
"1973",5,1942,0,59.1686303151451,1.57826162417354
"644",5,624,1,49.8810389307928,0.960251429583392
"1541",8,1978,1,67.6436546445716,2.32998669019171
"1106",8,1935,1,74.0213477015728,3.02845775724626
"1556",10,1265,0,78.3894729329909,3.57834921309887
"1878",4,1893,0,41.4427452498767,0.559974005794228
"9350",3,2216,1,38.1296163200174,0.439406393335576
"1903",4,1626,1,54.5991551049966,1.24911872562661
"5826",3,1809,0,41.7026859576242,0.570256186543449
"3002",3,1728,0,38.1569263611818,0.440322859225255
"2959",3,669,0,38.8026538356854,0.462359137214419
"20",7,2275,0,59.0263716509752,1.56724466867185
"2042",6,1978,1,51.8017548504331,1.07185268320642
"5546",3,2329,0,38.1124772393814,0.438831882791014
"536",6,2217,1,58.52712051669,1.52898073771478
"1221",12,1866,1,85.3448097316566,4.58266476360463
"2293",3,671,0,38.4438446392052,0.450027146899806
"7996",3,2013,1,39.2541946716466,0.478190731794394
"5905",3,1682,0,40.762420737967,0.53364100094806
"652",4,1506,1,50.221439459512,0.979445173170386
"1695",5,1215,1,55.0495579665753,1.27934108777901
"872",5,1975,1,44.1019948851304,0.671067409417016
"9494",3,2223,1,38.3554851325609,0.447023806746201
"6196",3,1639,0,40.0625665228196,0.507414063574182
"2085",6,2044,0,65.9616474110032,2.16536409842251
"56967",3,2767,1,40.5216563431161,0.524520426066322
"5082",3,1760,0,39.4374271350762,0.48471519689504
"471",9,624,0,76.8142284258115,3.37309018043123
"1864",5,2131,1,50.0338316891453,0.968835929422632
"272",5,1586,0,57.9319887502061,1.48417577538163
"274",6,1629,1,61.5095395651031,1.76691350657682
"100",6,1626,0,66.1680722506946,2.18514251985074
"465",5,1684,1,53.998421934287,1.20954378205293
"1005",7,2173,0,70.4172084858663,2.61901512442179
"4207",3,1088,1,39.5899273428334,0.490189693663792
"5565",3,2128,0,39.9985224604327,0.505057211167375
"454",6,2275,0,57.5534078761623,1.45612756810958
"1334",6,2271,0,53.506585278467,1.17776255130246
"235",7,2395,1,70.2511022321476,2.60107772739409
"324",4,1626,0,47.2861989086672,0.821996186981585
"1039",4,1942,0,43.6437129795101,0.650975743001939
