"","age","polygon","sex","length","weight"
"4568",4,3854,0,43.3954236179747,0.640257283908721
"4405",4,3728,0,45.5907504373658,0.739135397148022
"1186",7,3814,1,69.096957251571,2.47866681160381
"1555",6,3897,0,62.7496690439602,1.87258687192914
"3042",5,3686,1,53.1208772007646,1.15322627270841
"2849",5,3815,0,52.3793408791066,1.10700190932351
"1383",6,3129,0,57.0636316242736,1.42036041699813
"7512",3,3772,1,41.3876544220099,0.557810589120813
"635",7,3129,1,72.4542292456846,2.84562829866166
"3012",5,3729,0,50.3477963617448,0.986633469762635
"4271",4,3855,1,47.7700681450146,0.846713024113299
"4680",4,3185,1,41.9817398807815,0.581431486214121
"5032",4,3688,0,42.9957488317564,0.623248067005095
"3958",4,3688,1,43.7111911892961,0.653908936655167
"1338",6,3185,1,52.2763415125291,1.10067924635055
"2488",5,3854,1,49.5097009286873,0.939596665025246
"1607",6,3814,1,58.7615545980582,1.54687108402044
"4933",4,3687,0,52.1589654322721,1.09350301258564
"2901",5,3897,0,45.6338972607795,0.741172821674987
"1774",6,3896,1,51.4415650393906,1.05030861659795
"2131",5,3185,0,43.2155088339922,0.632563328566799
"3979",4,3773,1,40.0380467499484,0.506510873213715
"1537",6,3185,1,61.539140975106,1.76938909124117
"649",7,3854,1,70.7791528477621,2.65838136294065
"181",9,3773,1,76.5998898389967,3.34577388707265
"2872",5,3980,0,52.7066404204881,1.12725146681644
"2842",5,3686,1,55.120320404598,1.28413247536671
"4122",4,3814,1,43.6005081735201,0.64910222654536
"4768",4,3815,1,48.4119536070632,0.880247450142968
"3183",5,4021,1,57.4811748815852,1.45081583388018
"52",14,3814,1,93.7949247885334,6.03162820063099
"1251",7,3941,0,66.0740971437537,2.17612373746634
"2206",5,3814,0,52.3379490038928,1.10445819323558
"3587",4,3129,0,42.7350952213574,0.612316683010032
"1293",6,3814,0,59.3574834418453,1.59296536053505
"1991",6,3686,0,57.3300002725702,1.43974023536473
"896",7,4021,0,67.3325134740592,2.2989362627607
"1277",6,3814,0,62.8015967342883,1.87709987576454
"3885",4,3728,1,43.4443605442204,0.642360616224962
"690",7,3686,0,65.9536269026665,2.16459800119679
"3745",4,3897,1,43.4734239781155,0.643611920244471
"1367",6,3773,0,69.3482558549977,2.50499068208265
"3591",4,3773,0,50.7542497645321,1.00999077168323
"3757",4,3981,1,49.4339773917332,0.935420856988125
"2162",5,3687,0,53.2712682020508,1.16275286889518
"6744",3,3686,0,40.3265522021758,0.517205059917227
"1678",6,3729,1,60.6877985853725,1.6990951984131
"30",8,4020,0,69.7476783397484,2.54720720892025
"2026",5,3980,1,50.7297261329409,1.00857131433496
"3879",4,3728,1,45.2273226422855,0.722119784246472
"3211",5,3185,0,54.9533910414391,1.27284837075403
"432",7,3813,1,76.3182345606214,3.31009976267945
"4673",4,3729,1,40.6007528434039,0.527505360351606
"2015",5,3814,1,50.3252511852936,0.985348371698633
