"","age","polygon","sex","length","weight"
"1434",4,3460,1,40.086386292828,0.508292480823963
"48",7,3739,1,64.3535879355586,2.01529873502399
"615",4,3363,0,40.2331211342085,0.513725737581294
"5713",4,3819,0,39.3227330316564,0.480624424391288
"3669",5,3817,1,48.4865720026478,0.884201390887595
"596",6,3363,1,45.7761742879967,0.747917358074889
"3745",5,3738,1,47.178537916158,0.816561906021845
"2667",4,3269,0,40.6807827040161,0.530536843044092
"4842",7,3146,0,62.2635623939077,1.83068458066919
"1387",8,3537,1,74.7970992472092,3.12174427404087
"66",10,3025,1,83.0563386189706,4.23416210726464
"4500",10,3083,0,76.2129294001764,3.29682633791008
"526",5,3315,0,58.5691606934672,1.53217889824029
"1874",4,3464,1,49.6911849410549,0.949654439129384
"1569",4,3312,1,45.1810923256789,0.719973910350845
"4657",9,3364,1,74.3155574328611,3.06361881317381
"1707",4,3363,0,41.6602828877836,0.568570509103427
"4303",5,3207,0,53.2570841433638,1.16185217451064
"2534",5,3085,1,51.4740620401687,1.05224058938919
"4514",13,2777,1,86.9827663684902,4.84332199434817
"2449",5,3150,1,50.0452308421188,0.969478390072084
"2658",10,3082,0,83.203553181853,4.25603838193021
"3596",4,4145,1,49.3499384310425,0.930800773109019
"112",7,3576,1,65.1896935860214,2.09244186033753
"4226",7,3361,1,70.0828394284835,2.58298985495247
"36",7,2616,1,67.8473325411225,2.35046110253178
"2353",11,2965,0,83.2738676610902,4.26651332971713
"3245",9,3539,1,73.9733966718037,3.02275234863422
"4396",5,3984,1,52.4373788592085,1.1105750744604
"1659",5,3779,0,45.4732206732885,0.733604208971676
"1133",8,3739,1,73.1185313899666,2.922217877611
"676",5,3663,1,54.6565126189539,1.25294113088592
"3122",20,2904,1,105.906786803021,8.58857117953708
"4489",4,3312,0,41.2159964346449,0.551104775248316
"5058",10,3729,0,80.6644782783327,3.8890028659167
"802",11,4149,0,90.3204579243642,5.40418646932067
"3116",8,3149,0,75.9238233115574,3.26056504487858
"2970",6,3536,1,57.8145077389215,1.4754342707894
"3385",4,4188,1,41.2791968336686,0.553567506305245
"2863",11,3089,1,86.8266471847415,4.81806889147841
"692",6,3314,1,57.2368608697971,1.43294421561419
"1796",11,3689,0,83.4431324683187,4.29179855150636
"1236",8,2904,1,70.8331148035337,2.66428349276203
"2123",7,2965,1,65.5906010451412,2.13010872886114
"1848",4,4145,1,49.9112268778655,0.961943533463446
"4139",4,3694,0,40.4345260917723,0.521245171702243
"4533",6,4107,0,58.0421230055141,1.49240143113959
"3322",5,4148,0,50.5517544647766,0.998309314073787
"2562",5,3408,0,54.9921922189309,1.27546542592089
"2581",4,2777,0,43.836196648353,0.659365662264836
"3869",4,3818,1,39.4595024102791,0.485505164557131
"4568",5,3085,0,51.4033157854532,1.04803765240949
"5325",5,3540,1,57.0092794096651,1.41642714231203
"3286",3,3264,0,39.5796931863304,0.48982104106951
"2473",3,3461,1,40.3261424611806,0.517189767720896
"1429",7,3858,1,70.8820610890475,2.66964446285593
"618",11,3461,0,75.4610007379243,3.20306193119847
"4449",4,3207,0,46.6661572241288,0.791022107384923
"1346",5,3464,0,50.122136762645,0.97382014583394
