"","age","polygon","sex","length","weight"
"2779",5,2429,0,48.9077578949687,0.906738274834768
"4991",4,3022,1,44.7837206185627,0.701701468004627
"35",8,3067,0,70.4386186941175,2.62133304835657
"4952",4,1920,0,46.1429639957337,0.765490235509608
"2903",5,2203,1,49.4650842431573,0.937134780735943
"8959",3,1920,0,38.6663139208375,0.457647456752254
"1359",5,2307,1,44.4793248969287,0.687912196053199
"1987",5,1845,1,50.7727986204129,1.01106527231707
"49",15,2310,0,99.2917279778345,7.11884792298017
"256",7,3127,1,56.9818458375735,1.41444459099395
"218",8,2110,0,79.4410850927266,3.71983882407329
"491",8,2428,0,67.6720339438006,2.33283242892634
"5070",4,2252,1,40.5133572643422,0.524207880641745
"1352",5,1966,1,54.0628934682679,1.21375101547539
"2194",5,3067,0,46.6012078208436,0.78782264248551
"122",8,2493,0,71.8089591128239,2.77250605337775
"1967",5,2960,1,51.3745755668935,1.04633338832472
"4260",4,1845,0,42.4517520367614,0.600577331501083
"1910",5,2150,0,53.7913986560562,1.19609875969929
"3233",5,2430,1,49.7937936260764,0.955372114363967
"4239",4,2151,0,45.1029426728534,0.716355961154314
"4406",4,1929,0,39.8333900928469,0.499013435885944
"2346",5,2202,0,57.363335466374,1.44217770553065
"3660",4,1624,0,43.2298049245941,0.633172461185945
"3844",4,2823,1,42.5682281830458,0.605385068708549
"3869",4,1585,0,43.9251904232494,0.66326856550862
"336",6,1889,0,52.7269536065757,1.12851616339963
"5714",4,2960,0,42.3579024143809,0.596721823781679
"3897",4,2200,0,44.8175810038602,0.70324647569186
"1230",5,2111,0,52.880935035807,1.13813332788658
"1014",5,2110,1,56.109560011482,1.35235265173166
"3464",5,3068,0,58.5394606681833,1.52991904649824
"2979",5,2310,0,46.5920339756535,0.7873714165734
"53",13,2039,1,98.9887283996529,7.05581530753461
"1690",5,2366,0,51.105349252233,1.03045681178271
"2449",5,1625,1,50.8136578079804,1.01343481496401
"4788",4,2959,1,41.4560973128198,0.56049916904573
"1330",5,2426,0,46.3952258145529,0.777731998009974
"2818",5,3125,0,51.5162595133136,1.0547527418906
"5440",4,1583,0,41.7645439311519,0.572721145546945
"667",8,1666,0,80.5280693101939,3.86989596425822
"2766",5,3068,0,56.4195127289144,1.37420662658461
"695",6,2888,1,63.4163283509987,1.93106933872932
"2895",5,2037,0,52.7468176385187,1.12975379599365
"4777",4,3021,0,41.7355496199517,0.571564891432745
"3975",4,2203,1,38.761701360398,0.460940558788826
"1630",5,3125,1,41.3956000935966,0.558122276460261
"2841",5,3243,0,54.4059710323851,1.23630091899335
"5105",4,3128,0,40.2132037050048,0.512986015589911
"2929",5,2949,1,53.1044358116056,1.15218790204037
"5637",4,2110,0,40.7417747776753,0.532854847702792
"592",7,3127,1,65.6386178574919,2.13464971382195
"651",6,2001,1,53.391071440178,1.17037871979451
"3755",4,1920,0,48.7084957443792,0.896029716672898
"4277",4,2203,0,48.6658785891839,0.893750255485888
"4851",4,2426,0,45.6991604957397,0.744261598423292
"3019",5,3068,1,56.8092116783811,1.40201056013173
"750",5,2959,1,56.5486442662347,1.3833793207041
"8587",3,3022,0,39.5237915247292,0.487810574813913
"526",7,2430,1,76.5935524619316,3.34496844063563
"110",10,2364,0,77.4588783446083,3.45612855549833
"4040",4,2366,1,43.577084148927,0.648087957411097
"4514",4,2037,0,44.9205556518051,0.707958798406465
"5636",4,1920,1,42.8672971008994,0.617845145725673
"3885",4,1585,0,44.5629312193908,0.691681717955416
"1826",5,1920,1,50.3551867873446,0.987054970844863
"2169",5,1585,1,54.1861242015675,1.22181941415062
"2139",5,1920,1,51.2174299821484,1.03704698196578
"4078",4,2203,1,41.5785978382012,0.565332454385453
"1582",5,2761,0,43.6180135631514,0.649860896398916
"2114",5,3127,1,54.2276447735453,1.22454583575368
"4226",4,2493,1,45.9083595909208,0.754219487675541
"2653",5,1585,0,55.8040266903567,1.33103476860788
"207",12,2203,1,90.9057299858983,5.5067232108641
"1608",5,2949,0,54.7090729045801,1.25645057419714
"4676",4,1930,1,42.3732838700037,0.59735260463342
"3925",4,2835,0,42.796353460767,0.614874345822946
"74",25,2202,0,99.1513176877227,7.08959280052525
"5345",4,2201,0,40.7091852586776,0.531615457355013
"6712",3,2306,1,41.4475691144531,0.560163700723766
"1413",5,2072,0,57.4329028569364,1.44727319569226
"1539",5,2249,1,49.0772457004347,0.915912556635084
